"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Comment"
"R18","TopLayer","114,4137","78,4571","0","200k"
"R19","TopLayer","112,4833","88,3885","270","75k 0603"
"R20","TopLayer","96,5674","48,4985","180","2.2k 0603"
"R21","TopLayer","86,9711","57,7711","180","10k 0402"
"R22","TopLayer","98,4961","82,7711","270","2.2k 0603"
"R23","TopLayer","98,5461","87,1461","270","2.2k 0603"
"R25","TopLayer","75,0961","85,0711","180","2.2k 0603"
"R26","TopLayer","74,9961","86,6711","180","2.2k 0603"
"R27","TopLayer","77,8961","85,0711","180","56k"
"R28","TopLayer","77,8961","86,6711","180","56k"
"R29","TopLayer","135,4371","38,7432","90","4.7k 0402"
"R30","TopLayer","116,8211","54,1961","0","2.49k"
"R31","TopLayer","104,5461","62,4961","270","4.87k"
"R32","TopLayer","91,2548","67,9074","180","2.2k 0603"
"R46","TopLayer","113,6211","56,7461","180","49.9"
"R47","TopLayer","111,5961","59,0711","180","49.9"
"R48","TopLayer","113,6711","63,1961","180","49.9"
"R49","TopLayer","112,0046","60,4992","0","49.9"
"R51","TopLayer","85,3538","79,4626","270","2.2k"
"SW1","TopLayer","85,2961","89,0461","270","PTS645SM43SMTR92LFS"
"T1","TopLayer","131,0652","58,9433","90","7498010210A"
"U2","TopLayer","95,0461","82,5461","0","TPS3702CX33DDCT"
"U3","TopLayer","124,0051","83,4321","180","TPS62420DRCR"
"U4","TopLayer","94,5461","87,0461","0","TPS3702CX12DDCT"
"U5","TopLayer","125,3961","36,4461","270","FT234XD-R"
"XTAL1","TopLayer","91,1711","71,9461","180","ECS-2520S33-250-FN-TR"
"U1","TopLayer","71,7211","67,2096","0","XF28388DPTPS"
