"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Comment"
"C75","TopLayer","52,0461","74,5461","180","100pF 0402"
"C74","TopLayer","52,0461","73,5461","180","100pF 0402"
"C73","TopLayer","52,0461","72,5461","180","100pF 0402"
"C72","TopLayer","71,7961","87,9961","270","100pF 0402"
"C71","TopLayer","70,7461","88,0461","270","100pF 0402"
"C70","TopLayer","69,6461","88,0461","270","100pF 0402"
"C69","TopLayer","68,6461","88,0461","270","100pF 0402"
"C68","TopLayer","67,6461","88,0461","270","100pF 0402"
"C67","TopLayer","66,6461","88,0461","270","100pF 0402"
"C66","TopLayer","65,6461","88,0461","270","100pF 0402"
"C65","TopLayer","64,6461","88,0461","270","100pF 0402"
"C64","TopLayer","52,0461","70,2961","0","100pF 0402"
"C63","TopLayer","52,0461","69,2961","0","100pF 0402"
"U6","TopLayer","100,9449","58,5461","90","DP83822IRHBR"
"R60","TopLayer","116,7711","65,4961","0","470"
"R59","TopLayer","116,6461","52,3961","0","470"
"R52","TopLayer","104,5211","55,3461","0","10k 0402"
"R36","TopLayer","128,0995","35,2436","270","27"
"R35","TopLayer","128,0996","37,4044","90","27"
"R34","TopLayer","134,0711","32,0961","90","1M"
"R33","TopLayer","135,4291","41,2058","270","10k 0402"
"C62","TopLayer","135,6211","31,8961","270","4.7nF"
"C61","TopLayer","130,2711","35,3211","270","47pF C0G"
"C60","TopLayer","130,2961","37,3961","90","47pF C0G"
"C59","TopLayer","122,4461","40,1711","90","4.7uF 0805"
"C58","TopLayer","125,0961","39,7461","270","100nF"
"C57","TopLayer","124,0211","39,7461","270","100nF"
"C56","TopLayer","126,1961","39,7461","270","100nF"
"C1","TopLayer","114,3883","84,8833","90","22uF"
"C2","TopLayer","127,4961","83,1211","180","100nF"
"C3","TopLayer","123,4801","80,2321","180","100nF"
"C4","TopLayer","128,7139","84,6547","180","22uF"
"C5","TopLayer","122,7461","77,0461","90","100nF"
"C6","TopLayer","117,3347","78,4317","0","33pF C0G"
"C7","TopLayer","115,3789","80,2859","0","22uF"
"C8","TopLayer","41,0461","70,0461","180","2.2uF"
"C9","TopLayer","41,0461","64,0461","180","2.2uF"
"C10","TopLayer","109,0797","89,5315","270","2.2uF"
"C11","TopLayer","103,2123","89,6077","270","2.2uF"
"C12","TopLayer","112,5849","81,0733","90","10uF"
"C13","TopLayer","109,2961","77,5461","90","10uF"
"C14","TopLayer","85,2961","82,2961","0","0603 10nF"
"C15","TopLayer","91,5331","81,6471","270","100nF"
"C16","TopLayer","91,0251","84,1871","180","0603 10nF"
"C17","TopLayer","86,6961","76,1961","180","100nF"
"C19","TopLayer","105,6461","62,1711","90","10uF"
"C20","TopLayer","98,8961","63,7211","180","1uF"
"C21","TopLayer","56,7961","68,7961","0","100nF"
"C22","TopLayer","86,6961","72,2961","180","100nF"
"C23","TopLayer","73,2961","82,0461","270","100nF"
"C24","TopLayer","56,7711","72,9851","0","100nF"
"C25","TopLayer","64,9961","82,0461","270","100nF"
"C26","TopLayer","56,7961","77,0461","0","100nF"
"C29","TopLayer","79,6791","52,0581","90","100nF"
"C30","TopLayer","83,6961","54,4961","180","100nF"
"C31","TopLayer","86,6961","70,2961","180","100nF"
"C32","TopLayer","90,6711","69,0961","180","100nF"
"C33","TopLayer","69,2961","82,0961","270","100nF"
"C34","TopLayer","56,7961","71,3961","0","100nF"
"C36","TopLayer","86,8281","61,5461","180","100nF"
"C37","TopLayer","56,8711","65,7711","315","100nF"
"C38","TopLayer","75,4961","52,4961","90","100nF"
"C39","TopLayer","79,7711","82,1601","270","100nF"
"C40","TopLayer","69,6961","52,1961","90","100nF"
"C41","TopLayer","65,7461","52,2961","90","100nF"
"C42","TopLayer","56,8961","60,6961","0","100nF"
"C43","TopLayer","76,5961","52,4961","90","100nF"
"C44","TopLayer","56,7961","67,5461","0","100nF"
"C45","TopLayer","86,6961","75,1961","180","100nF"
"C46","TopLayer","72,2961","82,0461","270","100nF"
"C47","TopLayer","63,9961","82,0461","270","100nF"
"C48","TopLayer","86,6961","71,2961","180","100nF"
"C49","TopLayer","80,8961","82,1601","270","100nF"
"C52","TopLayer","70,3961","82,0961","270","100nF"
"C53","TopLayer","86,6961","74,1961","180","100nF"
"C54","TopLayer","86,6961","69,2961","180","100nF"
"C84","TopLayer","116,8711","60,6461","180","1uF"
"C86","TopLayer","116,8961","59,2961","180","1uF"
"C87","TopLayer","115,9711","56,7711","180","100nF"
"C88","TopLayer","115,9961","63,1711","180","100nF"
"C89","TopLayer","109,9046","59,8742","45","100nF"
"C90","TopLayer","113,9211","59,0711","180","100nF"
"C96","TopLayer","105,7461","59,9461","270","100nF"
"C97","TopLayer","104,6211","60,4211","270","10nF"
"C98","TopLayer","108,3461","61,8961","45","10uF"
"C100","TopLayer","98,8461","62,5961","0","100nF"
"C101","TopLayer","100,4211","62,6961","270","10nF"
"C102","TopLayer","140,9711","70,7961","0","4.7nF"
"D1","TopLayer","116,4457","83,0545","270","CFSH05-20L TR PBFREE"
"FB1","TopLayer","38,7961","67,2961","270","BKP2125HS600-T"
"FB2","TopLayer","106,1587","88,6425","180","BKP2125HS600-T"
"FB3","TopLayer","109,2961","80,7961","270","BLM21PG221SN1D"
"J1","TopLayer","140,3551","83,4321","90","691709710302"
"J2","TopLayer","140,8152","35,9449","90","56579-0576"
"L1","TopLayer","119,4683","85,8485","180","2.2uH , 2.2A"
"L2","TopLayer","119,8747","81,3019","180","3.3uH 1.5A"
"P1","TopLayer","87,1441","40,9461","270","TSM-107-01-L-DV"
"R1","TopLayer","93,8803","71,9139","270","0Ohm"
"R2","TopLayer","88,5461","73,4461","90","10 0402"
"R3","TopLayer","81,5461","43,5461","270","100 0402"
"R4","TopLayer","84,9231","30,7861","0","4.7k 0402"
"R5","TopLayer","89,7491","30,7861","180","4.7k 0402"
"R6","TopLayer","116,7759","89,0489","180","0Ohm"
"R7","TopLayer","121,5301","77,6821","90","0Ohm"
"R8","TopLayer","115,5059","90,7253","0","340k"
"R9","TopLayer","118,5711","90,7211","180","680 0603"
"R10","TopLayer","123,5711","78,9211","0","22k"
"R11","TopLayer","117,3601","76,7299","0","205k 0603"
"R12","TopLayer","114,0759","88,3885","90","2k 0603"
"R14","TopLayer","127,0487","80,0875","270","10k 0402"
"R16","TopLayer","128,7987","80,0875","90","100k"
